,id,unique_id,cnn_intrsctn_fkey,cnn_sgmt_fkey,case_id_pkey,tb_latitude,tb_longitude,geocode_source,geocode_location,collision_datetime,collision_date,collision_time,accident_year,month,day_of_week,primary_rd,secondary_rd,distance,weather_1,collision_severity,type_of_collision,mviw,ped_action,road_surface,road_cond_1,lighting,intersection,number_killed,number_injured,party_at_fault,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,point,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,hour
415,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4617,5257,20230000.0,206102.0,130301237,37.7389303462595,-122.38917768642,SFPD-CROSSROADS,CITY STREET,04/13/2013 02:28:00 AM,2013 April 13,02:28:00,2013,April,Saturday,NEWHALL ST,03RD ST,20.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,East,Proceeding Straight,Pedestrian,East,Not Stated,POINT (-122.389175 37.73893),86.0,2.0,9.0,1.0,02
421,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4863,4966,21829000.0,,140984209,37.7374062470572,-122.424040148623,SFPD-CROSSROADS,CITY STREET,11/20/2014 06:20:00 PM,2014 November 20,18:20:00,2014,November,Thursday,MISSION ST,HIGHLAND AVE,0.0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,North,Proceeding Straight,Pedestrian,East,Other,POINT (-122.42404 37.737408),61.0,9.0,5.0,2.0,18
422,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4bfa,15773,24313000.000000004,,140377030,37.7762305203006,-122.414711003362,SFPD-CROSSROADS,CITY STREET,05/07/2014 01:52:00 AM,2014 May 07,01:52:00,2014,May,Wednesday,09TH ST,MISSION ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,North,Proceeding Straight,Pedestrian,West,Proceeding Straight,POINT (-122.41471 37.77623),32.0,1.0,10.0,34.0,01
431,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4f74,1401,21480000.0,9181000.0,131037837,37.7148095370071,-122.442411032389,SFPD-CROSSROADS,CITY STREET,12/09/2013 07:00:00 PM,2013 December 09,19:00:00,2013,December,Monday,MISSION ST,ALLISON ST,70.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Pedestrian,East,Proceeding Straight,Driver,North,Proceeding Straight,POINT (-122.44241 37.71481),58.0,9.0,1.0,7.0,19
433,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3b7e,228,20298000.0,,160564900,37.7121794860998,-122.40245947948,SFPD-CROSSROADS,CITY STREET,07/13/2016 04:49:00 AM,2016 July 13,04:49:00,2016,July,Wednesday,BAY SHORE BLVD,ARLETA AVE,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Pedestrian,South,Entering Traffic,Driver,East,Proceeding Straight,POINT (-122.40246 37.71218),75.0,9.0,9.0,40.0,04
436,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3f65,15433,24272000.0,5677000.0,160048603,37.7751347921716,-122.409881757942,SFPD-CROSSROADS,CITY STREET,01/18/2016 02:10:00 AM,2016 January 18,02:10:00,2016,January,Monday,FOLSOM ST,08TH ST,74.0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Wet,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Driver,West,Backing,Pedestrian,East,Other,POINT (-122.40988 37.775135),32.0,1.0,10.0,34.0,02
448,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4730,29355,25192000.0,9735000.0,150071040,37.7847630717369,-122.421116406211,SFPD-CROSSROADS,CITY STREET,01/23/2015 06:21:00 PM,2015 January 23,18:21:00,2015,January,Friday,EDDY ST,VAN NESS AVE,22.0,Clear,Injury (Other Visible),Head-On,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Pedestrian,South,Proceeding Straight,Driver,East,Making Left Turn,POINT (-122.42112 37.784763),20.0,4.0,10.0,36.0,18
452,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-40d5,26689,24506000.0,,150973026,37.78992622953,-122.39427622789,SFPD-CROSSROADS,CITY STREET,11/07/2015 06:20:00 PM,2015 November 07,18:20:00,2015,November,Saturday,BEALE ST,HOWARD ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dusk - Dawn,Intersection <= 20ft,0.0,1,1.0,Pedestrian,South,Proceeding Straight,Driver,East,Proceeding Straight,POINT (-122.39428 37.789925),32.0,1.0,10.0,8.0,18
454,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-44ef,8411,23721000.0,,150398684,37.7531214125581,-122.404363176654,SFPD-CROSSROADS,CITY STREET,05/07/2015 06:13:00 PM,2015 May 07,18:13:00,2015,May,Thursday,SAN BRUNO AVE,24TH ST,0.0,Clear,Injury (Other Visible),Broadside,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,North,Proceeding Straight,Driver,North,Proceeding Straight,POINT (-122.404366 37.75312),54.0,3.0,9.0,20.0,18
458,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4135,1433,21485000.0,,150921661,37.7157534455984,-122.441554284612,SFPD-CROSSROADS,CITY STREET,10/21/2015 06:45:00 PM,2015 October 21,18:45:00,2015,October,Wednesday,MISSION ST,ROLPH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dusk - Dawn,Intersection <= 20ft,0.0,1,1.0,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,POINT (-122.44155 37.71575),58.0,9.0,1.0,7.0,18
464,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3b3b,34507,50364000.00000001,12562201.0,160590789,37.8083124219239,-122.410237946957,SFPD-CROSSROADS,CITY STREET,07/22/2016 12:37:00 PM,2016 July 22,12:37:00,2016,July,Friday,THE EMBARCADERO,BEACH ST,350.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,South,Proceeding Straight,Driver,East,Proceeding Straight,POINT (-122.41024 37.80831),99.0,6.0,3.0,23.0,12
481,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4995,9444,24024000.0,,140798420,37.7630293326591,-122.410244114442,SFPD-CROSSROADS,CITY STREET,09/22/2014 06:13:00 AM,2014 September 22,06:13:00,2014,September,Monday,BRYANT ST,MARIPOSA ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dusk - Dawn,Intersection <= 20ft,0.0,1,1.0,Driver,North,Proceeding Straight,Pedestrian,East,Other,POINT (-122.41025 37.76303),53.0,3.0,2.0,20.0,06
484,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-42b6,378,20357000.0,10944000.0,150716672,37.7132311868103,-122.407076981396,SFPD-CROSSROADS,CITY STREET,08/17/2015 07:01:00 AM,2015 August 17,07:01:00,2015,August,Monday,RAYMOND AVE,RUTLAND ST,6.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,East,Proceeding Straight,Pedestrian,South,Other,POINT (-122.407074 37.71323),75.0,9.0,9.0,40.0,07
493,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4a6e,39206,23264000.0,,140633519,37.7427202127114,-122.483192382909,SFPD-CROSSROADS,CITY STREET,07/30/2014 06:30:00 PM,2014 July 30,18:30:00,2014,July,Wednesday,TARAVAL ST,26TH AVE,0.0,Cloudy,Injury (Complaint of Pain),Head-On,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Proceeding Straight,Pedestrian,North,Other,POINT (-122.48319 37.74272),40.0,10.0,7.0,35.0,18
494,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4263,38110,23077000.0,,150767675,37.7310657542907,-122.474856604571,SFPD-CROSSROADS,CITY STREET,09/01/2015 04:53:00 PM,2015 September 01,16:53:00,2015,September,Tuesday,EUCALYPTUS DR,19TH AVE,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Making Right Turn,Pedestrian,South,Proceeding Straight,POINT (-122.47485 37.731068),62.0,10.0,8.0,41.0,16
506,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-409f,24154,24922000.0,,151000723,37.7822305745026,-122.410292026986,SFPD-CROSSROADS,CITY STREET,11/17/2015 10:53:00 AM,2015 November 17,10:53:00,2015,November,Tuesday,06TH ST,MARKET ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Proceeding Straight,Pedestrian,East,Proceeding Straight,POINT (-122.41029 37.78223),32.0,5.0,10.0,34.0,10
510,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-39ee,43536,27288000.0,389000.0,160769508,37.7811726699842,-122.466444398846,SFPD-CROSSROADS,CITY STREET,09/22/2016 12:41:00 PM,2016 September 22,12:41:00,2016,September,Thursday,08TH AVE,GEARY BLVD,90.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,East,Not Stated,Driver,South,Proceeding Straight,POINT (-122.466446 37.781174),5.0,8.0,4.0,11.0,12
511,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4578,9789,24022000.0,,150315650,37.7657832994918,-122.407534229607,SFPD-CROSSROADS,CITY STREET,04/11/2015 09:13:00 AM,2015 April 11,09:13:00,2015,April,Saturday,POTRERO AVE,16TH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,POINT (-122.40753 37.76578),54.0,3.0,9.0,20.0,09
514,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4809,26881,24557000.000000004,,141041771,37.7918420902338,-122.394940237395,SFPD-CROSSROADS,CITY STREET,12/11/2014 06:47:00 AM,2014 December 11,06:47:00,2014,December,Thursday,MISSION ST,MAIN ST,0.0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,West,Making Left Turn,Pedestrian,North,Proceeding Straight,POINT (-122.39494 37.791843),108.0,1.0,10.0,8.0,06
515,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-40a1,9329,24003000.0,,150998767,37.760661266103,-122.407065796813,SFPD-CROSSROADS,CITY STREET,11/16/2015 04:41:00 PM,2015 November 16,16:41:00,2015,November,Monday,POTRERO AVE,19TH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Right Turn,Pedestrian,East,Other,POINT (-122.40707 37.760662),53.0,3.0,9.0,20.0,16
519,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4fe2,1120,21552000.0,,130967362,37.7088063372727,-122.45266472081,SFPD-CROSSROADS,CITY STREET,11/14/2013 10:12:00 PM,2013 November 14,22:12:00,2013,November,Thursday,MISSION ST,SICKLES AVE,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.45267 37.708805),66.0,9.0,1.0,28.0,22
523,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3dec,32180,25296000.000000004,,160243477,37.7917040150099,-122.419221736356,SFPD-CROSSROADS,CITY STREET,03/23/2016 09:04:00 PM,2016 March 23,21:04:00,2016,March,Wednesday,LARKIN ST,SACRAMENTO ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,North,Proceeding Straight,Pedestrian,West,Not Stated,POINT (-122.41922 37.791702),16.0,6.0,3.0,21.0,21
527,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4b32,15581,24414000.0,,140497860,37.7752720604298,-122.415908179158,SFPD-CROSSROADS,CITY STREET,06/16/2014 07:30:00 AM,2014 June 16,07:30:00,2014,June,Monday,10TH ST,MISSION ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Left Turn,Pedestrian,South,Not Stated,POINT (-122.41591 37.775272),32.0,1.0,10.0,34.0,07
530,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-47b4,8702,24075000.000000004,,141093158,37.7539677695818,-122.416413488692,SFPD-CROSSROADS,CITY STREET,12/29/2014 08:25:00 AM,2014 December 29,08:25:00,2014,December,Monday,VAN NESS AVE,23RD ST,0.0,Cloudy,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Right Turn,Pedestrian,East,Proceeding Straight,POINT (-122.41641 37.753967),53.0,3.0,2.0,20.0,08
535,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-49b0,17780,30758000.0,4983000.0,140782536,37.7696302455446,-122.426104104104,SFPD-CROSSROADS,CITY STREET,09/16/2014 11:10:00 PM,2014 September 16,23:10:00,2014,September,Tuesday,DUBOCE AVE,MARKET ST,60.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Pedestrian,North,Entering Traffic,Driver,West,Proceeding Straight,POINT (-122.4261 37.76963),27.0,3.0,5.0,20.0,23
536,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-39c2,2042,21749000.0,9170000.0,160786251,37.7216701199675,-122.437076722323,SFPD-CROSSROADS,CITY STREET,09/27/2016 08:21:00 PM,2016 September 27,20:21:00,2016,September,Tuesday,MISSION ST,RUSSIA AVE,41.0,Clear,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Pedestrian,East,Not Stated,Driver,South,Proceeding Straight,POINT (-122.43708 37.72167),80.0,9.0,1.0,28.0,20
538,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3aca,42822,27521000.0,5933000.0,160655480,37.7725172246904,-122.485332153503,SFPD-CROSSROADS,CITY STREET,08/14/2016 09:21:00 AM,2016 August 14,09:21:00,2016,August,Sunday,FULTON ST,26TH AVE,20.0,Cloudy,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,2,1.0,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,POINT (-122.48533 37.77252),8.0,8.0,4.0,29.0,09
545,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3b56,38831,22928000.0,,160581368,37.7408919748173,-122.46582902375,SFPD-CROSSROADS,CITY STREET,07/19/2016 09:30:00 AM,2016 July 19,09:30:00,2016,July,Tuesday,ULLOA ST,WEST PORTAL AVE,0.0,Cloudy,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk Not at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,North,Other,Driver,East,Parking Maneuver,POINT (-122.46583 37.74089),46.0,10.0,8.0,41.0,09
547,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4d58,539,20444000.0,6961000.0,140164235,37.7196967921828,-122.392342191607,SFPD-CROSSROADS,CITY STREET,02/25/2014 07:30:00 AM,2014 February 25,07:30:00,2014,February,Tuesday,HOLLISTER AVE,INGALLS ST,27.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Driver,North,Proceeding Straight,Pedestrian,West,Proceeding Straight,POINT (-122.39234 37.719696),88.0,2.0,9.0,1.0,07
548,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-423d,34386,25535000.0,7600000.0,150783483,37.8052520103153,-122.416895861975,SFPD-CROSSROADS,CITY STREET,09/06/2015 07:30:00 PM,2015 September 06,19:30:00,2015,September,Sunday,JONES ST,BAY ST,15.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Pedestrian,West,Proceeding Straight,Driver,South,Stopped In Road,POINT (-122.41689 37.805252),99.0,6.0,3.0,23.0,19
549,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4de8,39233,23387000.000000004,,140089962,37.7424846653052,-122.488547222351,SFPD-CROSSROADS,CITY STREET,01/30/2014 08:29:00 PM,2014 January 30,20:29:00,2014,January,Thursday,TARAVAL ST,31ST AVE,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,West,Proceeding Straight,Pedestrian,South,Proceeding Straight,POINT (-122.48855 37.742485),40.0,10.0,7.0,35.0,20
552,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4834,40801,27176000.0,,141013811,37.7657392539412,-122.470727258517,SFPD-CROSSROADS,CITY STREET,11/30/2014 08:30:00 PM,2014 November 30,20:30:00,2014,November,Sunday,LINCOLN WAY,FUNSTON AVE,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,West,Making Left Turn,Pedestrian,South,Not Stated,POINT (-122.470726 37.76574),9.0,10.0,11.0,12.0,20
573,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4d92,18478,30756000.0,9875401.0,140122506,37.7719174220959,-122.423407183306,SFPD-CROSSROADS,CITY STREET,02/11/2014 03:33:00 AM,2014 February 11,03:33:00,2014,February,Tuesday,OCTAVIA ST,MARKET ST,12.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Pedestrian,East,Proceeding Straight,Driver,South,Proceeding Straight,POINT (-122.42341 37.77192),26.0,1.0,5.0,20.0,03
575,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3d5c,8043,25744000.0,,160317618,37.7513037320211,-122.43408951457,SFPD-CROSSROADS,CITY STREET,04/18/2016 10:40:00 AM,2016 April 18,10:40:00,2016,April,Monday,CASTRO ST,24TH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,2,1.0,Pedestrian,South,Proceeding Straight,Driver,North,Making Left Turn,POINT (-122.43409 37.751305),84.0,3.0,5.0,22.0,10
576,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4a4a,33403,25060000.000000004,3154000.0,140662609,37.7978208085159,-122.407028458673,SFPD-CROSSROADS,CITY STREET,08/09/2014 01:53:00 AM,2014 August 09,01:53:00,2014,August,Saturday,BROADWAY,GRANT AVE,4.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,POINT (-122.40703 37.79782),104.0,6.0,3.0,6.0,01
581,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4c8a,35040,26706000.000000004,5770000.0,140289742,37.8032087751074,-122.424892872414,SFPD-CROSSROADS,CITY STREET,04/07/2014 06:29:00 PM,2014 April 07,18:29:00,2014,April,Monday,FRANCISCO ST,VAN NESS AVE,8.0,Clear,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,South,Proceeding Straight,Driver,North,Proceeding Straight,POINT (-122.4249 37.803207),107.0,4.0,6.0,32.0,18
586,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4a19,7806,24073000.000000004,,140693256,37.7506396493784,-122.418287870245,SFPD-CROSSROADS,CITY STREET,08/18/2014 05:00:00 PM,2014 August 18,17:00:00,2014,August,Monday,MISSION ST,25TH ST,0.0,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Proceeding Straight,Driver,South,Stopped In Road,POINT (-122.41829 37.75064),53.0,3.0,2.0,20.0,17
587,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3e33,1925,21517000.0,9426000.0,160209792,37.7160888524161,-122.444574782254,SFPD-CROSSROADS,CITY STREET,02/17/2016 05:50:00 PM,2016 February 17,17:50:00,2016,February,Wednesday,MOUNT VERNON AVE,ALEMANY BLVD,5.0,Raining,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,POINT (-122.44457 37.716087),80.0,9.0,1.0,28.0,17
590,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-40df,220,20298000.0,2823102.0,150965932,37.712173689601,-122.402399093122,SFPD-CROSSROADS,CITY STREET,11/05/2015 07:40:00 AM,2015 November 05,07:40:00,2015,November,Thursday,BAY SHORE BLVD,ARLETA AVE,20.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,West,Proceeding Straight,Driver,North,Making Left Turn,POINT (-122.4024 37.712173),89.0,9.0,9.0,1.0,07
608,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3f5d,16295,23937000.0,,160051872,37.7802649727995,-122.4033872092,SFPD-CROSSROADS,CITY STREET,01/19/2016 09:42:00 AM,2016 January 19,09:42:00,2016,January,Tuesday,05TH AVE,FOLSOM ST,0.0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.40339 37.780266),32.0,1.0,10.0,34.0,09
